boundary_mode,ci95_high,ci95_low,comparison,horizon,improvement_ratio_left_over_right,layer,left,left_mean,mean_difference,metric,n_problems,right,right_mean
literal,0.0024542573405619294,0.002010898438223553,rlvr-dpo,0,0.9978158554672534,-1,dpo,1.0188497362921474,0.0022301861300557148,layer_smoothness,100,rlvr,1.0210799224222031
literal,-0.0002249399248356164,-0.0012740668021878493,rlvr-dpo,1,1.0005548877717865,4,dpo,1.3707069956885995,-0.0007601667433793946,cos_score,100,rlvr,1.3699468289452201
literal,0.001381576102675503,9.699145585650354e-05,rlvr-dpo,1,0.9979685425919678,4,dpo,0.3630810666094184,0.0007390851424677401,normalized_mse,100,rlvr,0.3638201517518862
literal,0.00849577533988458,0.003976415261908171,rlvr-dpo,2,0.9929329538736607,4,dpo,0.8655600758333775,0.006160489444094622,normalized_mse,100,rlvr,0.871720565277472
literal,0.017458424617988157,0.007946251530398532,rlvr-dpo,3,0.9932699521625225,4,dpo,1.840105774778719,0.012467909517767363,normalized_mse,98,rlvr,1.8525736842964864
literal,0.06645672797381286,0.03382466776225134,rlvr-dpo,5,0.9899493996933061,4,dpo,4.861350394790817,0.049355542600427064,normalized_mse,94,rlvr,4.910705937391245
literal,-0.0005408057430499977,-0.0009824234667235568,rlvr-dpo,1,1.0009573073263822,4,dpo,0.783538716681719,-0.0007493699766147011,perp_score,100,rlvr,0.7827893467051044
literal,-0.0018676166433143988,-0.0029198816959054605,rlvr-dpo,1,1.0017566499695332,8,dpo,1.362853072199024,-0.0023898576643632107,cos_score,100,rlvr,1.3604632145346607
literal,-0.0034306083548101877,-0.006640962860302124,rlvr-dpo,1,1.0056695278289685,8,dpo,0.894653562659466,-0.005043668054389265,normalized_mse,100,rlvr,0.8896098946050768
literal,0.0030151440471703397,-0.005862368590610813,rlvr-dpo,2,1.0006683170110087,8,dpo,2.243269197339088,-0.0014982136831628724,normalized_mse,100,rlvr,2.241770983655925
literal,0.012339017725829144,-0.008484708498449355,rlvr-dpo,3,0.9996576222669102,8,dpo,4.918594001253719,0.001684593831555544,normalized_mse,98,rlvr,4.920278595085274
literal,0.13261915052037399,0.03276863488029361,rlvr-dpo,5,0.9941636955034494,8,dpo,13.708115966580767,0.08047441202777021,normalized_mse,94,rlvr,13.788590378608534
literal,-0.0009458308956865414,-0.0014576111065335252,rlvr-dpo,1,1.0015456260371391,8,dpo,0.7764559920696676,-0.0011982585384393075,perp_score,100,rlvr,0.7752577335312283
literal,2.5089313413491367e-06,-0.001421997875125554,rlvr-dpo,1,1.0005503622826308,12,dpo,1.3341884978642529,-0.0007338831255524881,cos_score,100,rlvr,1.3334546147387005
literal,-0.012039946695312337,-0.016341327605050113,rlvr-dpo,1,1.011996110118641,12,dpo,1.1975871700550704,-0.014196089713198896,normalized_mse,100,rlvr,1.1833910803418717
literal,-0.022889065008014083,-0.03652938882494472,rlvr-dpo,2,1.0102872242178833,12,dpo,2.9061225769095644,-0.029591519952620552,normalized_mse,100,rlvr,2.8765310569569436
literal,-0.029225266341282367,-0.055835771921210434,rlvr-dpo,3,1.0069801743190143,12,dpo,6.190412125107547,-0.04291063204795776,normalized_mse,98,rlvr,6.147501493059591
