boundary_mode,ci95_high,ci95_low,horizon,layer,mean,metric,model,n_problems
natural,1.035926655853943,1.0333758376677173,0,-1,1.0346540655655776,layer_smoothness,base,492
natural,1.4903107577618646,1.46753074862101,1,4,1.4789430136608201,cos_score,base,492
natural,3.0583565585933132,2.887512547753603,1,4,2.9740919698570885,normalized_mse,base,492
natural,6.4574457224538335,6.176131339818908,2,4,6.319485825585294,normalized_mse,base,492
natural,13.682079896302753,13.016401812168782,3,4,13.35050862797856,normalized_mse,base,486
natural,33.926933346319885,32.34164421822735,5,4,33.143162500056015,normalized_mse,base,466
natural,0.8281356250974674,0.8185578426128652,1,4,0.8233552463296463,perp_score,base,492
natural,1.4863525476885795,1.471922758150444,1,8,1.4792009330217821,cos_score,base,492
natural,3.3950938747924484,3.2795276751857396,1,8,3.3380446311020324,normalized_mse,base,492
natural,7.7782901571036795,7.571644412492163,2,8,7.677521221066777,normalized_mse,base,492
natural,15.809188450684093,15.339665387617476,3,8,15.575267868963849,normalized_mse,base,486
natural,39.07429865155667,37.93956229962627,5,8,38.51823780906439,normalized_mse,base,466
natural,0.841322799741325,0.8356988980337839,1,8,0.8385441199482497,perp_score,base,492
natural,1.480403839987115,1.467752693598804,1,12,1.4741204102234762,cos_score,base,492
natural,3.399449042615743,3.3031302857125806,1,12,3.351785867597469,normalized_mse,base,492
natural,7.899813580241752,7.73317543670426,2,12,7.817131199544589,normalized_mse,base,492
natural,15.838690236572974,15.467714429816027,3,12,15.652265362776413,normalized_mse,base,486
natural,38.924340330423206,38.00147602191519,5,12,38.467041842171234,normalized_mse,base,466
natural,0.8421354998247037,0.8372265662262608,1,12,0.83970825812537,perp_score,base,492
natural,1.474098592225326,1.4593798557820912,1,16,1.4667889307857835,cos_score,base,492
natural,2.8995891452199696,2.811139371503189,1,16,2.8554969476873833,normalized_mse,base,492
natural,6.761341805846114,6.61079090301776,2,16,6.6863079314214,normalized_mse,base,492
natural,13.824473651283991,13.486064591133513,3,16,13.651867586697344,normalized_mse,base,486
natural,34.51607495301669,33.629625574956634,5,16,34.076816473358484,normalized_mse,base,466
natural,0.8344898957683881,0.8282330682133208,1,16,0.831405204157835,perp_score,base,492
natural,1.4773593960936353,1.4579547070920365,1,20,1.4677506702984904,cos_score,base,492
natural,2.5614830580643213,2.4590548109119776,1,20,2.510806376273363,normalized_mse,base,492
natural,5.816504139509844,5.650056100809692,2,20,5.73384577895409,normalized_mse,base,492
natural,12.220630326275765,11.832825285658021,3,20,12.022184933683134,normalized_mse,base,486
natural,30.854966173493633,29.83925695558756,5,20,30.354093902904914,normalized_mse,base,466
natural,0.8290354952454658,0.8209320287099263,1,20,0.8250113756562018,perp_score,base,492
natural,1.4788412151569914,1.4577547951331815,1,24,1.4684016837524254,cos_score,base,492
natural,2.174353651655489,2.078369511576826,1,24,2.127033370405751,normalized_mse,base,492
natural,4.903293898480643,4.7462767889062585,2,24,4.824424097585808,normalized_mse,base,492
natural,10.438804859104357,10.054984872824955,3,24,10.241825457792885,normalized_mse,base,486
natural,26.59964151255323,25.566870853219665,5,24,26.0913446016944,normalized_mse,base,466
natural,0.826727164403627,0.8180280106343398,1,24,0.8224226773280572,perp_score,base,492
natural,1.4685502278294178,1.4469737033776076,1,28,1.457825939616591,cos_score,base,492
natural,1.9519167183806312,1.867572163936197,1,28,1.9103785727622433,normalized_mse,base,492
natural,4.384582635590237,4.245615884227212,2,28,4.314693597127013,normalized_mse,base,492
natural,9.223610776969517,8.896177808675816,3,28,9.056148363131678,normalized_mse,base,486
natural,23.34458432782182,22.47036489322343,5,28,22.910354897371505,normalized_mse,base,466
natural,0.8247334601442395,0.8159306163090404,1,28,0.820356612189879,perp_score,base,492
natural,1.4587783724174948,1.436783231018197,1,32,1.4477938880700598,cos_score,base,492
natural,1.6460475778436168,1.5785674514105061,1,32,1.6124564033782482,normalized_mse,base,492
natural,3.739347998318753,3.5946580384214366,2,32,3.6665288725756855,normalized_mse,base,492
natural,7.727832785560468,7.419381565611703,3,32,7.570596939186148,normalized_mse,base,486
natural,19.416240205803163,18.60187787192944,5,32,19.00509128963782,normalized_mse,base,466
natural,0.8217358411046964,0.8127878255020213,1,32,0.8172697750154293,perp_score,base,492
literal,1.0218224658269728,1.0158345073639357,0,-1,1.0188497362921474,layer_smoothness,dpo,100
literal,1.4021146061761913,1.3398456235367733,1,4,1.3707069956885995,cos_score,dpo,100
literal,0.3827330162914231,0.3430296389757053,1,4,0.3630810666094184,normalized_mse,dpo,100
literal,0.9159288719540104,0.8166704992938097,2,4,0.8655600758333775,normalized_mse,dpo,100
literal,1.9432797681569807,1.7373630782860254,3,4,1.840105774778719,normalized_mse,dpo,98
literal,5.154935417729407,4.574314604184228,5,4,4.861350394790817,normalized_mse,dpo,94
literal,0.7948871370464742,0.7721259273541667,1,4,0.783538716681719,perp_score,dpo,100
literal,1.392648439093055,1.334581355727279,1,8,1.362853072199024,cos_score,dpo,100
literal,0.9417092645719254,0.8478881888923191,1,8,0.894653562659466,normalized_mse,dpo,100
literal,2.3807413772346044,2.1206073313761005,2,8,2.243269197339088,normalized_mse,dpo,100
literal,5.198262763692372,4.644803201812894,3,8,4.918594001253719,normalized_mse,dpo,98
literal,14.661792841195942,12.793440525817433,5,8,13.708115966580767,normalized_mse,dpo,94
literal,0.7884083701428185,0.7646767496651212,1,8,0.7764559920696676,perp_score,dpo,100
literal,1.3625496872951415,1.3076985515406185,1,12,1.3341884978642529,cos_score,dpo,100
literal,1.2754932918399522,1.122371269615446,1,12,1.1975871700550704,normalized_mse,dpo,100
literal,3.053373997456583,2.7627189520220363,2,12,2.9061225769095644,normalized_mse,dpo,100
literal,6.520695819385049,5.867598203368645,3,12,6.190412125107547,normalized_mse,dpo,98
literal,17.045195065005775,15.268686406509929,5,12,16.154173206165495,normalized_mse,dpo,94
literal,0.7915000128382491,0.7697083926294118,1,12,0.7804962726939365,perp_score,dpo,100
literal,1.3920051099705193,1.3522338195091141,1,16,1.371453932093614,cos_score,dpo,100
literal,1.9044464386836104,1.7324377194808862,1,16,1.8186801274292668,normalized_mse,dpo,100
literal,4.787462772226964,4.371375642818451,2,16,4.572977917743162,normalized_mse,dpo,100
literal,9.724748237320549,8.864999815748424,3,16,9.289897708151942,normalized_mse,dpo,98
literal,23.971549322986736,21.64079408957218,5,16,22.790767255625386,normalized_mse,dpo,94
literal,0.8038631337190162,0.7887226651284988,1,16,0.7961804321692033,perp_score,dpo,100
literal,1.404109632832677,1.3639336380166875,1,20,1.3833627574050467,cos_score,dpo,100
literal,1.9476726654425645,1.7659444512161049,1,20,1.856313916141196,normalized_mse,dpo,100
literal,4.926337273498493,4.448073211959474,2,20,4.6763420840558645,normalized_mse,dpo,100
literal,9.963575682166093,9.01090567296415,3,20,9.47891283063698,normalized_mse,dpo,98
literal,24.31183912516608,21.9758418561966,5,20,23.139623924276172,normalized_mse,dpo,94
literal,0.805178195367533,0.7901441605592617,1,20,0.7975607017959632,perp_score,dpo,100
literal,1.4197140137931943,1.3789055126519378,1,24,1.398617057903227,cos_score,dpo,100
literal,1.8450716239127714,1.6547780938490066,1,24,1.7491755460998453,normalized_mse,dpo,100
literal,4.56602423179247,4.090164486368714,2,24,4.317164065870187,normalized_mse,dpo,100
literal,9.26515203995102,8.29365656987009,3,24,8.767830187910539,normalized_mse,dpo,98
literal,22.59951813912589,20.21558596857143,5,24,21.404432507410377,normalized_mse,dpo,94
literal,0.8117437908388296,0.7969704606181314,1,24,0.8041314547717404,perp_score,dpo,100
literal,1.4232161910100867,1.380220745072168,1,28,1.4009927588481756,cos_score,dpo,100
literal,1.6418449939242614,1.4644913635842767,1,28,1.5527143851666272,normalized_mse,dpo,100
literal,3.9750582920330335,3.567262406382885,2,28,3.762890962498976,normalized_mse,dpo,100
literal,8.074706393527244,7.224325170413086,3,28,7.647667637859355,normalized_mse,dpo,98
literal,19.80881725155826,17.65602019384262,5,28,18.727249014344533,normalized_mse,dpo,94
literal,0.8150474170232647,0.799817069004854,1,28,0.8072020651375686,perp_score,dpo,100
literal,1.4103879032443087,1.368951383472364,1,32,1.3891790435254432,cos_score,dpo,100
literal,1.9065889066750237,1.709424790873296,1,32,1.8079061937356382,normalized_mse,dpo,100
literal,4.607726236361428,4.16422894599625,2,32,4.383796465186076,normalized_mse,dpo,100
literal,9.172152676394603,8.267730636990287,3,32,8.718995735873975,normalized_mse,dpo,98
literal,22.040366592081533,19.651324600815396,5,32,20.833189479251146,normalized_mse,dpo,94
