boundary_mode,ci95_high,ci95_low,comparison,horizon,improvement_ratio_left_over_right,layer,left,left_mean,mean_difference,metric,n_problems,right,right_mean
reserved,-3.392563612293107,-3.523974078747545,A-C,2,203.87491268977058,20,C,3.474215216090907,-3.4571743003143913,normalized_mse,492,A,0.01704091577651587
reserved,-7.089692086000834,-7.388052572334447,A-C,3,187.09770909569096,20,C,7.273584289497067,-7.234708429794387,normalized_mse,486,A,0.0388758597026808
reserved,-17.67975839380454,-18.457075834522026,A-C,5,151.11354991527443,20,C,18.186830762686675,-18.06647867796043,normalized_mse,466,A,0.12035208472624444
reserved,-0.2285576151196019,-0.24098319487296604,A-C,1,1.4210512281743946,20,C,0.7923754223780269,-0.23477735225357338,perp_score,492,A,0.5575980701244536
reserved,-0.8111577070144349,-0.8423478909555119,A-C,1,2.484557657015163,24,C,1.3835412550215538,-0.8266850874397241,cos_score,492,A,0.5568561675818298
reserved,-1.1185632928000824,-1.1808724626006677,A-C,1,382.54355943282565,24,C,1.1525128668412725,-1.149500104403055,normalized_mse,492,A,0.0030127624382175824
reserved,-2.724400023189218,-2.8566678072175526,A-C,2,310.2612796586376,24,C,2.7975701655129046,-2.7885533453393045,normalized_mse,492,A,0.009016820173599838
reserved,-5.711410756520699,-6.006508112930489,A-C,3,287.2200958639333,24,C,5.875474992048915,-5.855018641408213,normalized_mse,486,A,0.02045635064070288
reserved,-14.135072931631534,-14.887851264352133,A-C,5,229.09088723203485,24,C,14.570685598303124,-14.507083393194259,normalized_mse,466,A,0.0636022051088623
reserved,-0.29903879202430306,-0.31314599390982983,A-C,1,1.623475254554914,24,C,0.7971449276640744,-0.3061334845099151,perp_score,492,A,0.49101144315415923
reserved,-0.9253015597167324,-0.9581047371186049,A-C,1,3.213208754578949,28,C,1.3671838056325043,-0.9416951710443492,cos_score,492,A,0.4254886345881554
reserved,-0.835721629845123,-0.8851460958425499,A-C,1,400.8476337008826,28,C,0.8624158155341218,-0.8602643351634589,normalized_mse,492,A,0.0021514803706629013
reserved,-1.9970669867464637,-2.100345761115798,A-C,2,291.67287170493705,28,C,2.054027286522949,-2.046985057074196,normalized_mse,492,A,0.007042229448753293
reserved,-4.164660601256468,-4.397111719298885,A-C,3,253.8281624067711,28,C,4.294740868545433,-4.277820993194239,normalized_mse,486,A,0.016919875351194942
reserved,-10.205662959111056,-10.782730719891637,A-C,5,177.56507901008416,28,C,10.54971379885528,-10.490300574939464,normalized_mse,466,A,0.05941322391581369
reserved,-0.3726924489682051,-0.38945848995179355,A-C,1,1.9178867907618553,28,C,0.7962510691625824,-0.38108002100791927,perp_score,492,A,0.41517104815466305
reserved,-1.0892008421713828,-1.124660120838502,A-C,1,22.449344030073792,32,C,1.1588194870007789,-1.1072001842074148,cos_score,492,A,0.05161930279336406
reserved,-0.46032018463342456,-0.5020391261233247,A-C,1,264.0001377474231,32,C,0.48237251425248,-0.48054534659124953,normalized_mse,492,A,0.0018271676612304664
reserved,-1.2931763613664253,-1.500207075587999,A-C,2,157.07242582546343,32,C,1.4000022183559324,-1.3910891184849745,normalized_mse,492,A,0.008913099870957581
reserved,-2.791641568658756,-3.1479315073518794,A-C,3,112.43610352485743,32,C,2.9871961599210763,-2.9606282154061665,normalized_mse,486,A,0.02656794451490989
reserved,-7.232816953110477,-8.078982487489972,A-C,5,57.17229844858551,32,C,7.780647462881768,-7.644556249584145,normalized_mse,466,A,0.13609121329762225
reserved,-0.5817599086880683,-0.5933848755428197,A-C,1,5.658038552513815,32,C,0.7136179085845885,-0.587493298092577,perp_score,492,A,0.12612461049201135
