boundary_mode,ci95_high,ci95_low,horizon,layer,mean,metric,model,n_problems
reserved,0.44647199929853726,0.40529618144587853,1,28,0.4254886345881554,cos_score,A,492
reserved,0.0022007101947168167,0.0021039044043066257,1,28,0.0021514803706629013,normalized_mse,A,492
reserved,0.007301718578927554,0.0068009212508623115,2,28,0.007042229448753293,normalized_mse,A,492
reserved,0.01764336264933784,0.016259753555605445,3,28,0.016919875351194942,normalized_mse,A,486
reserved,0.06281351888897864,0.05622438168457412,5,28,0.05941322391581369,normalized_mse,A,466
reserved,0.425686513576549,0.4048105836981759,1,28,0.41517104815466305,perp_score,A,492
reserved,0.05830292816600546,0.045615558363263836,1,32,0.05161930279336406,cos_score,A,492
reserved,0.0019237836351558024,0.0017367189378056712,1,32,0.0018271676612304664,normalized_mse,A,492
reserved,0.009528946710200195,0.008346793890062348,2,32,0.008913099870957581,normalized_mse,A,492
reserved,0.02851981205944444,0.024792541890210188,3,32,0.02656794451490989,normalized_mse,A,486
reserved,0.14935458223672646,0.12458046986849801,5,32,0.13609121329762225,normalized_mse,A,466
reserved,0.13081224529063512,0.12168993782395017,1,32,0.12612461049201135,perp_score,A,492
reserved,0.934271545294399,0.9314389249756134,0,-1,0.9328313861384593,layer_smoothness,A1,492
reserved,1.3437203991396798,1.3157379108043716,1,4,1.3299840561612424,cos_score,A1,492
reserved,0.0696919364127794,0.06581694480161449,1,4,0.06776193204553964,normalized_mse,A1,492
reserved,0.16926828136956099,0.15895870220232333,2,4,0.164065405484819,normalized_mse,A1,492
reserved,0.36138595437665055,0.33557280791358046,3,4,0.3475437917968786,normalized_mse,A1,486
reserved,0.9203296408120509,0.85620366120925,5,4,0.8874693329996917,normalized_mse,A1,466
reserved,0.7798528492938117,0.7688516974884543,1,4,0.7744400785876767,perp_score,A1,492
reserved,1.1580587990447737,1.1212182423803638,1,8,1.1399598120034022,cos_score,A1,492
reserved,0.03275547757888215,0.031009342633520273,1,8,0.03188646935769328,normalized_mse,A1,492
reserved,0.09957613325524252,0.09180279432911245,2,8,0.09557839369839402,normalized_mse,A1,492
reserved,0.23454289255304941,0.21416427077929434,3,8,0.22376756455759775,normalized_mse,A1,486
reserved,0.7405743240101734,0.6659137712439298,5,8,0.7025564781922637,normalized_mse,A1,466
reserved,0.697134765539119,0.6813846971326438,1,8,0.6894551607421592,perp_score,A1,492
reserved,0.8851173993633694,0.8448909139058761,1,12,0.8651696948828875,cos_score,A1,492
reserved,0.012335402380751937,0.011710139937603614,1,12,0.012016521977243276,normalized_mse,A1,492
reserved,0.04353994020084555,0.03962270271761536,2,12,0.041493372450178735,normalized_mse,A1,492
reserved,0.10772988960113632,0.09729192725435744,3,12,0.1022240777480892,normalized_mse,A1,486
reserved,0.3762869427744737,0.332794190321948,5,12,0.35418773224937095,normalized_mse,A1,466
reserved,0.6010225207222883,0.5831901933503117,1,12,0.5922124535152986,perp_score,A1,492
reserved,0.42806655491622053,0.39319216957331315,1,16,0.41023091579911414,cos_score,A1,492
reserved,0.0032821650527638364,0.0031405487106158105,1,16,0.0032098018989132737,normalized_mse,A1,492
reserved,0.012500898331246343,0.011430369069857718,2,16,0.011940433892684366,normalized_mse,A1,492
reserved,0.03297497021382406,0.02989449791817056,3,16,0.03136932711762848,normalized_mse,A1,486
reserved,0.12723564369547521,0.11300941120120643,5,16,0.12002794673971112,normalized_mse,A1,466
reserved,0.40758802545929623,0.3893973231970942,1,16,0.3984010139651214,perp_score,A1,492
reserved,0.205015208299777,0.18279678825872717,1,20,0.19352114774994839,cos_score,A1,492
reserved,0.0009052510686558818,0.0008738529041459866,1,20,0.0008895285981492633,normalized_mse,A1,492
reserved,0.00338252702165611,0.0031640667569889924,2,20,0.003268541571821941,normalized_mse,A1,492
reserved,0.008978915353293329,0.008311366840087967,3,20,0.00863062965675568,normalized_mse,A1,486
