boundary_mode,ci95_high,ci95_low,horizon,layer,mean,metric,model,n_problems
natural,1.0354635492166366,1.0301623087697622,0,-1,1.0328011687879108,layer_smoothness,A,100
natural,1.5118842005772977,1.459366866901488,1,4,1.4850928081794876,cos_score,A,100
natural,3.147658328476649,2.7594279241572712,1,4,2.9557842756942585,normalized_mse,A,100
natural,6.4505006497969894,5.777052087384,2,4,6.118045647975802,normalized_mse,A,100
natural,13.821958651198738,12.29033159633537,3,4,13.057879720126698,normalized_mse,A,98
natural,33.99904290241037,30.33932473758452,5,4,32.189595681386415,normalized_mse,A,94
natural,0.8379978161679889,0.8161119393604398,1,4,0.8269508937718077,perp_score,A,100
natural,1.5001760979068535,1.4646012250816542,1,8,1.4821158344617782,cos_score,A,100
natural,3.3169113774407983,3.0597912835886345,1,8,3.1903841818297773,normalized_mse,A,100
natural,7.505076038318647,7.035858340988688,2,8,7.273745144821174,normalized_mse,A,100
natural,15.43137851680239,14.400633582014835,3,8,14.920487460494487,normalized_mse,A,98
natural,37.91306860330331,35.49657170703168,5,8,36.73348765310923,normalized_mse,A,94
natural,0.8438122658472756,0.829687668923884,1,8,0.8368297452475371,perp_score,A,100
natural,1.4901996443536827,1.4581624775324975,1,12,1.4738744944524453,cos_score,A,100
natural,3.3362993619646573,3.12541182063663,1,12,3.232880617600015,normalized_mse,A,100
natural,7.670996687294031,7.29652524317397,2,12,7.490106131456695,normalized_mse,A,100
natural,15.615405846125206,14.808166931694698,3,12,15.213760525620488,normalized_mse,A,98
natural,38.623378322268785,36.55768552451744,5,12,37.59744260177801,normalized_mse,A,94
natural,0.843406090171528,0.8313032026773597,1,12,0.8373642244877848,perp_score,A,100
natural,1.489559791694672,1.4535359814563753,1,16,1.4712267154113414,cos_score,A,100
natural,2.8997585741596357,2.709063054238464,1,16,2.805073532925058,normalized_mse,A,100
natural,6.771044934296598,6.3947922565791675,2,16,6.58451694413737,normalized_mse,A,100
natural,13.963134889386266,13.19112497224475,3,16,13.579143793898101,normalized_mse,A,98
natural,35.137636763703036,32.933604325550355,5,16,34.025313462684736,normalized_mse,A,94
natural,0.8412217713957465,0.8265292050772928,1,16,0.8338338047263291,perp_score,A,100
natural,1.4899557383716835,1.4443420491103796,1,20,1.4665337564682155,cos_score,A,100
natural,2.362893034830256,2.164253992280304,1,20,2.2637249025714166,normalized_mse,A,100
natural,5.412372018098468,5.040361597908662,2,20,5.226202715826703,normalized_mse,A,100
natural,11.356767421591801,10.569180351838147,3,20,10.961508440897022,normalized_mse,A,98
natural,28.59785570020028,26.484729350799448,5,20,27.533429267217734,normalized_mse,A,94
natural,0.837962944327566,0.8196995667281172,1,20,0.8287218988867356,perp_score,A,100
natural,1.4919614028123083,1.4419037431187975,1,24,1.466075713723289,cos_score,A,100
natural,1.9952237819187508,1.8078486359498824,1,24,1.901104998747982,normalized_mse,A,100
natural,4.495796318022003,4.146352598072395,2,24,4.320430048033115,normalized_mse,A,100
natural,9.506040423070809,8.761961383454919,3,24,9.13006740117783,normalized_mse,A,98
