boundary_mode,ci95_high,ci95_low,comparison,horizon,improvement_ratio_left_over_right,layer,left,left_mean,mean_difference,metric,n_problems,right,right_mean
natural,0.029122205156921523,0.0261297279597474,A-C,0,0.9732780648728427,-1,C,1.005202722956308,0.027598445831602786,layer_smoothness,100,A,1.0328011687879108
natural,-0.0008306447256390513,-0.0021783815340829164,A-C,1,1.0010134150683698,4,C,1.4865978236092243,-0.0015050154297362361,cos_score,100,A,1.4850928081794876
natural,0.009152651430142584,-0.003571108130464672,A-C,1,0.999057439764038,4,C,2.9529982709699074,0.0027860047243504337,normalized_mse,100,A,2.9557842756942585
natural,9.819065734450377e-05,-0.024650492634423597,A-C,2,1.0019765872307052,4,C,6.130138498880463,-0.012092850904658236,normalized_mse,100,A,6.118045647975802
natural,0.026376868915405575,-0.03824750520797951,A-C,3,1.0004805650830637,4,C,13.064154881179038,-0.006275161052340628,normalized_mse,98,A,13.057879720126698
natural,0.027270103399854702,-0.18794975027213043,A-C,5,1.0024240117765975,4,C,32.26762364040201,-0.07802795901558528,normalized_mse,94,A,32.189595681386415
natural,-0.0001380675533970011,-0.0007253118178875956,A-C,1,1.000524811173985,4,C,0.827384886841196,-0.0004339930693881677,perp_score,100,A,0.8269508937718077
natural,-0.0005535267624865766,-0.0028550247452680663,A-C,1,1.0011193961632665,8,C,1.4837749092403913,-0.001659074778612839,cos_score,100,A,1.4821158344617782
natural,-0.000851255695749135,-0.016047118849903324,A-C,1,1.0025620549081564,8,C,3.1985581212817387,-0.008173939451961452,normalized_mse,100,A,3.1903841818297773
natural,0.0006218860132005872,-0.03550689136055826,A-C,2,1.0023000494860976,8,C,7.290475118603525,-0.016729973782353413,normalized_mse,100,A,7.273745144821174
natural,-0.0017995455982802013,-0.07456241716500595,A-C,3,1.0024406329168853,8,C,14.956902893326545,-0.036415432832056845,normalized_mse,98,A,14.920487460494487
natural,0.03656455807884615,-0.16732212845646824,A-C,5,1.001718989145496,8,C,36.79663211966114,-0.06314446655190988,normalized_mse,94,A,36.73348765310923
natural,0.00011580779322688351,-0.0007895222792300853,A-C,1,1.0003920397141393,8,C,0.837157815741647,-0.00032807049411019083,perp_score,100,A,0.8368297452475371
natural,0.0015894934325195722,0.0001336976180083486,A-C,1,0.9994379958108388,12,C,1.4730461708122653,0.0008283236401798711,cos_score,100,A,1.4738744944524453
natural,0.07905989509763318,0.0644265563716089,A-C,1,0.9778459248207929,12,C,3.1612591373523027,0.07162148024771249,normalized_mse,100,A,3.232880617600015
natural,0.2625068142332102,0.20393219157376677,A-C,2,0.9690284647966426,12,C,7.2581260457294015,0.23198008572729406,normalized_mse,100,A,7.490106131456695
natural,0.5625322735982712,0.4390112670209224,A-C,3,0.9671827157250181,12,C,14.714486221559703,0.49927430406078693,normalized_mse,98,A,15.213760525620488
natural,1.8240687812854457,1.3172405977386081,A-C,5,0.9585749979818172,12,C,36.03996846612085,1.5574741356571662,normalized_mse,94,A,37.59744260177801
natural,-0.0009853429286961525,-0.001893479155402024,A-C,1,1.0017011651907821,12,C,0.8387887193584898,-0.0014244948707049553,perp_score,100,A,0.8373642244877848
natural,0.00990687254180546,0.004801208638949112,A-C,1,0.9951494159763449,16,C,1.4640904066103926,0.007136308800948632,cos_score,100,A,1.4712267154113414
natural,0.17830070850905144,0.15756199208880373,A-C,1,0.9401955291521229,16,C,2.63731759459909,0.16775593832596766,normalized_mse,100,A,2.805073532925058
natural,0.4978060919683838,0.41188313714266,A-C,2,0.9313787041951691,16,C,6.132678859181798,0.4518380849555754,normalized_mse,100,A,6.58451694413737
natural,1.051000026592604,0.8642806711105357,A-C,3,0.9296278339699889,16,C,12.62355003228851,0.955593761609589,normalized_mse,98,A,13.579143793898101
